x,y,value
-123.39971241310067,109.07498009756208,2.4090872401997645
20.23846563178049,-116.9222533846778,46.81222143455529
145.7153968736199,-38.31527737074458,81.47754992692212
-136.66909808829755,121.5125782797558,2.4618861237942973
56.88246924621333,-52.61188135520203,47.07015723244963
139.86238167372312,35.31406691401443,71.12576797413409
100.42974330252349,111.41093023598759,76.29146631877641
-10.898895041580003,-121.3265904677434,38.74553165660194
42.2592412319773,-132.1995423338872,47.31133215624177
49.83992204608219,-90.40795192929271,61.63566469185438
-23.981358525125017,-130.61198915790055,36.908805804592994
-14.837566260022683,25.080159325812147,43.2291382940363
-141.69277471355358,-127.86420140195874,5.8326216240422415
15.24632521830801,-119.01967851891993,45.31271790744876
-107.645862871778,11.952185157309781,1.3718306851417044
-91.48016432034322,-44.93000409519367,10.072840474372477
18.99843013615089,-47.83332132784368,52.18955147926526
23.71538961027596,32.71331215789135,51.38285810847009
57.64041853125893,-59.616621324576755,46.67435080505913
-135.29501994212833,-18.17335048322436,0.0
